Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases
1,41,Male,Pants,Clothing,78,Minnesota,S,Peach,Winter,3.4,No,Same Day Delivery,No,No,44,Debit Card,Every 3 Months
2,19,Female,Shorts,Accessories,69,Montana,XL,Lavender,Winter,1.4,No,International Shipping,Yes,Yes,93,PayPal,Weekly
3,19,Male,Handbag,Footwear,74,Pennsylvania,M,Violet,Fall,2.0,Yes,Overnight Shipping,No,Yes,5,Venmo,Quarterly
4,20,Female,Sandals,Clothing,87,Vermont,XL,Black,Fall,1.4,Yes,Store Pickup,No,Yes,57,Debit Card,Every 3 Months
5,59,Female,Scarf,Clothing,61,Alaska,L,Red,Winter,1.7,Yes,Express,Yes,Yes,38,PayPal,Bi-Weekly
6,37,Male,Shorts,Footwear,93,Pennsylvania,L,Charcoal,Fall,3.8,Yes,Next Day Air,Yes,Yes,41,Credit Card,Quarterly
7,35,Female,Cap,Footwear,47,New Jersey,S,Green,Winter,3.6,No,Standard,No,Yes,63,Cash,Bi-Weekly
8,26,Male,Sunglasses,Footwear,48,Missouri,M,Green,Fall,3.3,No,Express,Yes,Yes,60,Debit Card,Monthly
9,25,Female,Watch,Footwear,74,Minnesota,L,Black,Winter,1.3,Yes,Store Pickup,No,No,75,Debit Card,Fortnightly
10,33,Male,Jeans,Clothing,35,Wisconsin,L,Black,Fall,1.1,No,Express,Yes,No,69,Cash,Weekly
11,24,Male,Skirt,Outerwear,81,Illinois,L,Indigo,Spring,1.8,No,Free Shipping,Yes,No,16,PayPal,Quarterly
12,43,Male,Flip-flops,Clothing,40,Kentucky,M,Indigo,Summer,1.6,No,Standard,Yes,No,34,Cash,Monthly
13,69,Female,Gloves,Footwear,85,Maryland,S,Blue,Summer,2.4,Yes,Free Shipping,No,No,21,Bank Transfer,Bi-Weekly
14,50,Female,Vest,Accessories,54,North Dakota,XL,Lavender,Summer,1.3,Yes,Store Pickup,No,Yes,27,Bank Transfer,Every 3 Months
